neuron,block 2 (/16),block 5 (/16),block 8 (/16),block 11 (/16)
218,7.280344,8.686811,11.633281,17.708931
219,6.433188,8.773780,12.091109,16.686262
220,6.687969,8.032224,12.659573,16.287287
221,6.462748,8.438363,11.708113,15.979818
222,6.444060,8.252926,11.016600,15.489978
223,6.589548,8.222318,10.997519,16.277435
224,6.629247,8.441354,11.251875,15.963410
225,6.889091,8.398482,11.222110,16.184214
226,6.760104,8.732636,11.421337,16.489466
227,6.838186,8.414660,12.253331,17.390570
228,6.661979,8.624176,11.676145,16.900393
229,7.015305,7.849502,11.359673,16.332161
230,7.114779,8.858056,11.652874,17.256565
231,6.818241,8.354556,11.511785,16.805035
232,6.535133,8.587336,11.520284,16.072720
233,6.655263,8.601449,12.210227,16.850536
234,7.007258,7.884636,11.356395,17.315519
235,6.606316,8.346915,11.352156,16.373487
236,6.819940,8.368886,12.140373,17.187069
237,6.688381,8.595538,11.776643,16.784718
238,6.866539,8.932346,12.273154,16.768234
239,6.800871,8.458326,11.308217,16.381916
240,6.548294,8.500540,12.099271,16.635372
241,6.213054,8.339292,11.571383,16.826101
242,6.517010,9.010842,12.800968,16.808647
243,6.904336,8.704470,12.201625,17.671574
244,6.580644,8.806282,11.684963,16.829044
245,6.551715,8.683784,11.456885,16.002687
246,6.235313,9.160757,12.549328,16.706045
247,6.084360,8.293184,11.603518,16.260508
248,6.969473,8.333789,11.866493,17.119293
249,7.011999,8.728541,11.703240,16.557255
250,7.101837,8.397096,11.688419,16.847662
251,6.735256,8.164222,11.805750,17.026932
252,6.383811,8.761484,11.552533,16.220308
253,6.435248,8.364916,11.136765,16.253437
254,6.771398,8.589455,12.110466,17.164923
255,6.421264,8.010254,11.245958,16.339497
column_sum,1705.551514,2163.862061,3001.418701,4216.345215
